,T0,T1,T2,A_1
T0,-0.72,0.0,-0.0,-0.17
T1,0.0,-1.94,-0.0,0.06
T2,0.34,-0.17,-1.93,-0.45
A_1,-0.02,0.0,-0.33,-2.12
