,T0,T1,T2,C_0
T0,-0.71,0.13,-0.62,0.0
T1,-0.12,-1.95,0.18,0.17
T2,0.77,-0.45,-2.05,-0.57
C_0,-0.2,0.0,-0.0,-1.68
