,T0,T1,T2,D_0
T0,-0.72,-0.0,-0.12,-0.0
T1,-0.06,-2.04,0.0,0.98
T2,0.43,-0.25,-1.97,-0.3
D_0,-0.02,0.0,-0.0,-2.16
