,T0,T1,T2,B_0
T0,-0.73,0.0,-0.0,0.01
T1,0.0,-1.93,0.01,-0.0
T2,0.31,-0.22,-1.95,-0.0
B_0,0.02,0.24,-0.56,-1.73
