,T0,T1,T2,C_2
T0,-0.92,-0.8,-0.0,-0.49
T1,-0.41,-1.8,0.0,0.31
T2,-0.0,0.08,-2.0,-0.0
C_2,-0.54,0.0,-0.01,-1.64
