,T0,T1,T2,A_0
T0,-1.0,-0.58,-0.0,0.28
T1,-0.65,-1.72,0.0,-0.01
T2,-0.0,0.19,-1.97,-0.74
A_0,0.0,-0.17,-0.92,-2.35
