,T0,T1,T2,A_0
T0,-0.76,-0.19,0.0,0.09
T1,-0.12,-1.9,0.0,-0.44
T2,0.31,0.24,-2.09,-0.99
A_0,-0.0,-0.0,-0.42,-2.44
