,T0,T1,T2,B_0
T0,-0.74,-0.39,-0.0,-0.0
T1,-0.01,-2.01,0.01,0.35
T2,0.31,0.18,-2.1,-0.27
B_0,-0.01,0.0,-0.0,-1.74
