,T0,T1,T2,D_0
T0,-0.81,-1.77,-0.32,0.57
T1,-0.07,-2.14,-0.38,1.01
T2,0.48,0.79,-2.32,-0.21
D_0,-0.18,0.28,0.22,-1.2
