,T0,T1,T2,A_0
T0,-0.77,-0.92,0.0,0.15
T1,-0.09,-1.86,0.0,-0.53
T2,0.31,0.67,-2.22,-1.16
A_0,-0.0,-0.17,-0.63,-2.41
