,T0,T1,T2,C_3
T0,-0.83,-0.58,-0.14,0.16
T1,-0.45,-1.93,0.18,0.29
T2,0.33,0.61,-2.17,-0.28
C_3,-1.2,0.06,0.26,-0.22
