,T0,T1,T2,A_0
T0,-0.87,-0.11,-0.17,0.0
T1,-0.52,-2.04,0.0,-0.19
T2,-0.06,0.65,-2.18,-0.84
A_0,-0.0,-0.05,-0.91,-2.43
