,T0,T1,T2,B_1
T0,-0.79,-0.39,-0.22,-0.16
T1,-0.24,-2.1,0.0,-0.0
T2,-0.01,0.6,-2.2,-0.08
B_1,-0.23,-0.0,-0.25,-0.0
