,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),RNF43 (M)
PIK3CA (M),-0.47,-0.3,-1.32,-0.94
SMAD4 (M),-0.94,-1.8,0.0,-0.14
SMAD4/18q (Del),-2.11,-0.71,0.98,-3.35
RNF43 (M),-0.65,-0.0,-2.52,-1.1
