,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),NOTCH3 (M)
PIK3CA (M),-0.55,-0.38,-1.27,-0.44
SMAD4 (M),-0.91,-1.79,-0.0,-0.87
SMAD4/18q (Del),-2.02,-0.96,0.85,-2.64
NOTCH3 (M),-0.44,-0.52,-2.67,-2.06
