,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ERBB2 (M)
PIK3CA (M),-0.57,-0.35,-1.21,-0.6
SMAD4 (M),-0.98,-1.78,-0.0,-0.99
SMAD4/18q (Del),-2.17,-0.95,0.84,-2.15
ERBB2 (M),-0.8,-0.55,-1.44,-2.29
