,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),EP300 (M)
PIK3CA (M),-0.63,-0.61,-1.02,-0.21
SMAD4 (M),-0.72,-1.81,-0.0,-1.17
SMAD4/18q (Del),-2.54,-0.98,0.88,-2.89
EP300 (M),-0.9,-0.75,-2.48,-2.03
