,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),B2M (M)
PIK3CA (M),-0.61,-0.33,-1.15,0.0
SMAD4 (M),-1.02,-1.79,-0.0,-0.4
SMAD4/18q (Del),-2.17,-0.94,0.85,-2.86
B2M (M),0.0,-0.35,-2.3,-2.2
