,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ASXL1/20q (Amp)
PIK3CA (M),-0.43,-0.25,-0.76,-0.65
SMAD4 (M),-1.64,-1.12,-0.52,-0.62
SMAD4/18q (Del),-2.58,-0.01,0.68,0.16
ASXL1/20q (Amp),-3.77,-2.13,-0.01,1.12
