,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ATM (M)
PIK3CA (M),-0.57,-0.35,-1.21,-0.48
SMAD4 (M),-0.97,-1.8,-0.0,-0.29
SMAD4/18q (Del),-2.12,-0.88,0.85,-1.96
ATM (M),-0.42,-0.23,-1.22,-2.0
