,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),SMARCA4 (M)
PIK3CA (M),-0.6,-0.45,-1.1,-0.55
SMAD4 (M),-0.9,-1.79,-0.0,-0.8
SMAD4/18q (Del),-2.43,-0.93,0.86,-2.47
SMARCA4 (M),-1.06,-0.55,-2.21,-2.1
