,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),NOTCH1 (M)
PIK3CA (M),-0.58,-0.24,-1.24,-0.34
SMAD4 (M),-1.13,-1.75,-0.04,-1.28
SMAD4/18q (Del),-2.1,-0.94,0.84,-2.44
NOTCH1 (M),-0.48,-0.65,-2.58,-2.24
