,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),MTOR (M)
PIK3CA (M),-0.56,-0.41,-1.26,-0.26
SMAD4 (M),-0.88,-1.8,-0.01,-0.59
SMAD4/18q (Del),-2.03,-0.9,0.82,-1.79
MTOR (M),-0.38,-0.46,-1.7,-2.26
