,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),AXIN2 (M)
PIK3CA (M),-0.56,-0.3,-1.3,-0.21
SMAD4 (M),-1.01,-1.79,-0.0,-0.44
SMAD4/18q (Del),-1.97,-0.92,0.82,-2.15
AXIN2 (M),-0.39,-0.23,-1.89,-2.37
