,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CTNNB1 (M)
PIK3CA (M),-0.62,-0.53,-1.09,-0.14
SMAD4 (M),-0.78,-1.8,-0.0,-0.61
SMAD4/18q (Del),-2.34,-0.87,0.86,-2.05
CTNNB1 (M),-0.64,-0.01,-1.0,-1.88
