,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FBXW7/4q (Del)
PIK3CA (M),-0.39,-1.21,-1.83,-0.0
SMAD4 (M),-0.42,-1.46,-0.36,-1.49
SMAD4/18q (Del),-1.35,-0.03,0.5,1.14
FBXW7/4q (Del),-2.54,-0.32,-0.84,-0.33
