,T0,T1,T2,A_1
T0,-0.77,-0.36,-0.0,-0.0
T1,-0.24,-1.99,-0.0,-0.0
T2,0.28,0.36,-2.05,-1.31
A_1,-0.5,-0.44,-0.19,-2.14
