,EGFR (M),MET (M),KRAS (M),BRAF (M),RB1/13q (Del)
EGFR (M),-0.04,-3.39,-5.53,-2.9,-0.77
MET (M),-3.35,-2.05,-2.58,-1.69,-0.72
KRAS (M),-5.31,-2.44,0.2,-2.49,-1.49
BRAF (M),-2.94,-1.75,-2.08,-1.95,-0.5
RB1/13q (Del),-0.0,-0.81,-0.98,-0.83,-0.9
