,EGFR (M),MET (M),KRAS (M),BRAF (M),RBM10 (M)
EGFR (M),-0.1,-3.39,-5.47,-3.0,-0.85
MET (M),-3.47,-2.11,-2.62,-1.74,-0.62
KRAS (M),-5.46,-2.41,0.1,-2.34,-0.91
BRAF (M),-2.95,-1.77,-2.18,-1.96,-0.74
RBM10 (M),-0.53,-0.99,-0.07,-1.1,-1.88
