,EGFR (M),MET (M),KRAS (M),BRAF (M),EPHA7/6q (Del)
EGFR (M),0.07,-3.52,-5.43,-2.82,-1.52
MET (M),-3.45,-1.97,-2.32,-1.59,-1.25
KRAS (M),-5.57,-2.8,0.27,-1.99,-1.61
BRAF (M),-3.0,-1.76,-2.4,-1.96,-0.14
EPHA7/6q (Del),-1.13,-1.41,-0.5,-0.56,-0.61
