,T0,T1,T2,C_1
T0,-0.79,-0.56,0.07,-0.4
T1,-0.0,-1.88,-0.0,-0.0
T2,-0.0,0.37,-2.15,-0.0
C_1,-0.0,-0.0,-0.33,-1.92
