,T0,T1,T2,B_1
T0,-0.86,-0.66,0.03,0.13
T1,0.0,-1.88,-0.0,0.0
T2,-0.0,0.39,-2.15,-0.0
B_1,0.0,0.37,-0.31,-0.06
