,T0,T1,T2,E_1
T0,-0.82,-0.59,0.01,0.27
T1,-0.0,-1.88,-0.0,-0.07
T2,0.0,0.37,-2.15,0.08
E_1,0.04,-0.0,0.01,-2.59
