,T0,T1,T2,A_0
T0,-0.82,-0.59,0.07,-0.0
T1,-0.0,-1.88,-0.0,-0.01
T2,-0.0,0.39,-2.13,-0.37
A_0,-0.1,-0.18,-0.43,-2.52
