,T0,T1,T2,D_0
T0,-0.81,-0.86,0.12,0.0
T1,-0.42,-2.08,-0.13,0.85
T2,0.0,0.79,-2.1,-0.04
D_0,0.23,-0.0,0.13,-1.53
