,T0,T1,T2,E_3
T0,-0.81,-0.93,0.07,0.13
T1,-0.21,-1.96,-0.0,-0.0
T2,-0.0,0.75,-2.15,0.35
E_3,0.0,-0.45,0.0,-1.82
