,T0,T1,T2,B_0
T0,-0.79,-1.05,0.01,-0.0
T1,-0.18,-2.02,-0.0,0.33
T2,0.14,0.78,-2.11,-0.28
B_0,-0.08,0.02,-0.0,-1.67
