,STK11 (M),KEAP1 (M),KRAS (M),ARID2 (M)
STK11 (M),-2.13,2.27,-0.0,-0.57
KEAP1 (M),-0.0,-2.1,0.0,0.0
KRAS (M),0.24,-0.56,-0.64,-0.59
ARID2 (M),-0.05,-0.0,-0.92,-3.22
