,STK11 (M),KEAP1 (M),KRAS (M),ARID1A (M)
STK11 (M),-2.11,2.28,-0.0,-0.95
KEAP1 (M),-0.0,-2.09,0.01,-0.13
KRAS (M),0.24,-0.57,-0.64,-0.17
ARID1A (M),-0.52,-0.02,-0.61,-2.78
