,STK11 (M),KEAP1 (M),KRAS (M),TERT/5p (Amp)
STK11 (M),-2.01,2.24,-0.0,-0.41
KEAP1 (M),-0.0,-1.84,0.0,-0.95
KRAS (M),0.26,-0.75,-0.34,-1.04
TERT/5p (Amp),-1.46,-1.15,-2.11,-0.06
