,STK11 (M),KEAP1 (M),KRAS (M),SMARCA4 (M)
STK11 (M),-2.13,2.22,-0.0,-0.0
KEAP1 (M),-0.0,-2.21,0.01,1.27
KRAS (M),0.26,-0.58,-0.64,-0.28
SMARCA4 (M),0.77,-0.0,-0.54,-2.63
