,STK11 (M),KEAP1 (M),KRAS (M),SMAD4 (M)
STK11 (M),-2.12,2.26,-0.0,-0.66
KEAP1 (M),-0.0,-2.08,0.0,-0.94
KRAS (M),0.24,-0.56,-0.63,-0.66
SMAD4 (M),-0.96,-0.35,-0.83,-3.08
