,STK11 (M),KEAP1 (M),KRAS (M),RB1 (M)
STK11 (M),-2.1,2.26,-0.0,-1.51
KEAP1 (M),-0.0,-2.07,0.01,-1.38
KRAS (M),0.2,-0.58,-0.61,-1.24
RB1 (M),-1.53,-0.22,-1.64,-2.75
