,STK11 (M),KEAP1 (M),KRAS (M),MET (M)
STK11 (M),-2.1,2.25,0.0,-1.84
KEAP1 (M),-0.0,-2.07,0.0,-1.31
KRAS (M),0.17,-0.59,-0.59,-1.92
MET (M),-1.4,-0.97,-1.77,-2.67
