,T0,T1,T2,A_1
T0,-0.81,-1.42,0.26,-0.01
T1,-0.01,-1.97,-0.0,-0.55
T2,0.0,0.51,-2.05,-0.56
A_1,-0.26,-0.09,-0.5,-2.11
