,T0,T1,T2,D_0
T0,-0.88,-1.76,0.13,0.55
T1,-0.1,-2.12,-0.33,0.72
T2,0.1,0.69,-2.09,-0.34
D_0,-0.29,0.23,0.38,-1.33
