,T0,T1,T2,C_3
T0,-0.75,-1.41,0.27,-0.18
T1,-0.03,-2.01,0.0,0.01
T2,0.0,0.48,-2.09,-0.01
C_3,-0.51,0.13,-0.15,-0.3
