,T0,T1,T2,E_3
T0,-0.82,-1.29,0.24,0.09
T1,-0.08,-1.99,-0.03,-0.0
T2,-0.05,0.51,-2.12,0.27
E_3,-0.07,-0.57,0.03,-1.84
