,T0,T1,T2,B_1
T0,-0.85,-1.42,0.23,0.11
T1,-0.07,-2.04,0.0,0.09
T2,0.01,0.5,-2.05,-0.09
B_1,-0.16,0.21,-0.11,-0.02
