,T0,T1,T2,C_2
T0,-0.74,-0.89,0.24,-0.77
T1,-0.21,-1.97,0.0,0.02
T2,0.0,0.59,-2.06,-0.08
C_2,-0.15,0.0,-0.24,-1.69
