,T0,T1,T2,A_1
T0,-0.81,-0.83,0.2,-0.0
T1,-0.29,-1.94,0.0,-0.11
T2,0.0,0.61,-2.04,-0.47
A_1,-0.12,-0.54,-0.73,-2.16
