,T0,T1,T2,E_0
T0,-0.81,-0.77,0.14,0.01
T1,-0.33,-1.94,-0.0,-0.01
T2,0.0,0.59,-2.1,0.4
E_0,0.16,-0.01,0.0,-2.68
