,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),AMER1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.01
ARID1B (M),1.63,-3.73,0.08,0.01,0.44
KMT2A (M),1.49,0.01,-3.59,0.78,0.31
KMT2C (M),0.83,0.0,0.0,-3.1,0.0
AMER1 (M),0.13,0.0,0.0,0.0,-2.66
