,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),PTPRT (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.63,-3.72,0.0,0.0,0.45
KMT2A (M),1.48,0.07,-3.6,0.79,0.45
KMT2C (M),0.83,0.0,0.0,-3.1,0.0
PTPRT (M),0.77,0.0,0.0,0.27,-3.17
