,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),BRAF (M)
ARID1A (M),-2.13,0.0,0.0,0.0,0.27
ARID1B (M),1.68,-3.69,0.01,0.0,-0.08
KMT2A (M),1.35,0.13,-3.71,0.78,0.87
KMT2C (M),0.84,0.01,0.0,-3.1,-0.03
BRAF (M),0.0,-0.0,0.0,-0.25,-1.88
