,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),ASXL1/20q (Amp)
ARID1A (M),-1.24,0.0,0.0,0.01,-1.87
ARID1B (M),0.85,-2.57,-0.0,-0.01,-2.84
KMT2A (M),0.7,-0.0,-2.37,0.0,-2.93
KMT2C (M),0.0,-0.0,0.17,-2.11,-2.19
ASXL1/20q (Amp),-2.24,-1.89,-2.23,-1.38,0.94
