,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),ATM (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.13
ARID1B (M),1.58,-3.76,0.26,0.0,0.76
KMT2A (M),1.53,0.0,-3.56,0.79,-0.32
KMT2C (M),0.86,0.01,0.0,-3.09,-0.31
ATM (M),0.0,0.0,-0.19,-0.06,-2.68
