,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),CIC (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.65,-3.7,0.18,0.0,0.0
KMT2A (M),1.36,0.0,-3.65,0.53,1.63
KMT2C (M),0.84,0.02,0.0,-3.11,-0.0
CIC (M),0.85,0.0,-0.0,1.64,-3.69
