,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),FAT1 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.63,-3.69,0.0,0.0,-0.0
KMT2A (M),1.4,0.32,-3.6,0.61,0.68
KMT2C (M),0.67,0.05,0.0,-3.16,1.04
FAT1 (M),1.26,-0.0,-0.0,0.0,-3.23
