,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),CASP8 (M)
ARID1A (M),-2.17,-0.0,0.0,1.25,-0.8
ARID1B (M),1.52,-3.74,0.01,0.22,0.9
KMT2A (M),1.39,0.03,-3.58,0.93,0.43
KMT2C (M),-1.22,0.0,0.0,-3.0,1.68
CASP8 (M),1.93,0.0,0.0,-0.53,-3.77
