,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),KRAS (M)
ARID1A (M),-1.71,-0.0,-0.0,0.0,-1.3
ARID1B (M),1.55,-3.37,0.09,0.0,-0.97
KMT2A (M),1.48,0.01,-3.2,-0.0,-0.94
KMT2C (M),0.57,0.0,0.81,-2.72,-1.45
KRAS (M),-1.28,-1.13,-1.83,-0.3,-0.12
