,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),TGFBR2 (M)
ARID1A (M),-2.1,0.0,0.0,0.0,0.0
ARID1B (M),1.64,-3.69,0.0,0.0,-0.0
KMT2A (M),1.33,0.32,-3.62,0.7,0.97
KMT2C (M),0.85,0.01,0.0,-3.11,0.0
TGFBR2 (M),1.16,-0.0,0.0,0.0,-3.21
