,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),NOTCH3 (M)
ARID1A (M),-2.1,0.0,0.0,0.01,0.0
ARID1B (M),1.56,-3.75,0.0,0.14,0.92
KMT2A (M),1.35,0.0,-3.65,0.94,1.17
KMT2C (M),0.8,0.0,-0.0,-3.1,-0.0
NOTCH3 (M),1.07,0.0,-0.0,-0.03,-3.25
