,ARID1A (M),ARID1B (M),KMT2A (M),KMT2C (M),ERBB2 (M)
ARID1A (M),-2.11,-0.0,0.0,0.0,0.36
ARID1B (M),1.67,-3.7,0.0,0.0,-0.0
KMT2A (M),1.48,0.22,-3.57,0.76,0.0
KMT2C (M),0.83,0.01,0.0,-3.1,-0.0
ERBB2 (M),0.0,-0.0,0.0,-0.0,-3.12
